size,type,weight,dist_f_ch,dist_ch_s,time_sec,bench_free,priority
big,iron,11.59357234829921,33,29,636,4,1
big,gold,16.92165384721539,16,10,7528,5,2
small,gold,9.39812104037319,10,12,18396,5,5
small,gold,14.895531798926013,27,6,1163,0,5
big,iron,14.110111808670249,16,12,1807,2,2
small,iron,15.500462940952646,58,11,10078,4,1
big,gold,8.602365660745162,49,25,19537,3,5
small,iron,7.525013604164605,5,14,12716,0,5
small,iron,5.2536658350977214,58,22,13359,5,1
big,gold,12.205240335530853,16,20,19209,2,5
big,gold,7.802572563088914,9,11,1175,4,4
big,gold,14.76810773285286,9,23,14510,3,5
small,gold,13.237669935764789,23,27,18281,0,5
small,iron,17.50571686986764,25,5,15612,0,3
big,iron,17.029058440041915,55,23,4285,1,1
small,gold,10.41817509803714,20,29,18239,0,3
small,iron,9.444018508394349,41,19,9168,5,1
big,iron,6.232586014267913,5,10,6470,1,5
small,iron,16.345581244123807,50,6,4149,3,3
small,gold,12.44306922504651,29,22,11310,0,4
big,gold,10.044456758908874,35,6,3171,2,5
big,iron,15.553406808677895,29,25,19427,5,2
small,gold,9.111573287059368,45,25,4917,3,3
small,iron,12.170496924279872,38,15,11058,1,3
small,gold,11.539428428285856,22,20,826,4,2
small,iron,9.053458369360774,51,15,2612,3,1
small,gold,16.85660320161874,6,24,17115,1,4
big,gold,15.610042511031532,59,5,19164,10,2
small,gold,12.792993574236908,37,17,8250,5,2
small,gold,15.368682246933659,6,15,7057,3,5
big,iron,6.340981744434763,30,16,13001,0,4
big,gold,11.447439097735522,20,29,5042,2,4
small,iron,14.00227401116822,3,17,5703,3,4
big,gold,10.90726495787718,59,13,12610,5,3
big,gold,15.711857291658514,53,22,9736,4,1
big,iron,12.833260730027444,34,28,7050,1,4
small,gold,10.743235442673424,7,25,5541,3,4
big,iron,11.230245031547966,24,22,8226,1,2
big,iron,15.743652713868334,43,28,16980,2,1
big,gold,5.987122571866558,26,27,4313,3,3
big,gold,17.572285080832724,33,9,4771,3,4
big,iron,5.860366339166654,51,9,756,2,2
big,gold,6.990111902235847,11,16,3795,2,5
big,iron,17.153162358390443,52,22,1458,8,1
small,gold,10.616899390892344,59,29,12493,5,2
big,iron,11.891380331331659,18,6,5540,0,4
big,gold,10.591370666004458,56,27,13579,4,1
big,iron,6.395695685101329,18,17,8457,3,4
big,gold,14.128367477148219,42,21,14809,4,4
small,iron,15.336061248265333,42,23,16532,4,2
big,iron,7.849006332459453,57,9,485,1,1
small,gold,16.281505687825675,4,8,4287,5,3
small,gold,6.497035641104319,36,13,16801,5,4
small,gold,16.62228576875944,51,29,13087,0,1
big,iron,15.520041289085936,5,23,598,1,4
small,iron,18.681748491452776,0,16,18520,1,3
big,iron,17.202463653356933,3,24,16871,5,3
small,iron,17.667432803311574,28,16,8128,5,1
small,iron,19.365603554575987,34,6,10001,1,4
small,gold,17.665007391354383,48,27,19578,3,2
big,gold,16.946103973260076,25,26,19809,1,5
small,gold,7.941893251346599,55,27,12750,0,2
big,gold,16.32611368523989,6,20,11521,1,5
big,gold,14.490596907479608,38,28,19141,0,5
small,iron,19.423449954045616,28,29,4597,5,1
big,iron,15.800509400458001,32,22,5899,4,1
big,gold,8.893652744432096,30,24,12066,2,4
small,gold,7.461901625169873,42,21,13100,3,4
small,gold,9.220367402304804,43,14,6411,1,3
big,gold,12.20210762478108,51,10,3176,3,2
small,gold,14.78762284105388,22,21,11603,5,2
big,iron,8.226382909081,0,24,18269,5,5
big,iron,8.492306986562959,9,24,691,4,2
big,gold,9.527971225540433,36,20,6754,1,5
small,iron,17.109243544806784,9,22,16283,1,4
small,iron,10.481304456138647,46,13,3172,1,2
big,gold,6.175711766318759,0,4,16731,0,5
small,gold,13.17552859913865,56,30,10587,3,2
big,iron,5.08923345726928,60,8,1145,3,1
small,gold,15.105560421715202,24,17,3347,9,2
small,gold,17.63113181865231,52,28,1505,0,1
big,iron,7.495730423936658,55,23,5601,1,2
big,gold,17.668998039294316,49,28,4908,4,1
big,iron,15.185354904147468,38,21,7632,4,2
big,iron,6.47829198211681,12,4,11105,2,5
big,iron,8.418414421873432,20,4,2938,0,5
small,iron,8.410085653494656,21,25,19807,2,4
big,gold,8.085995594015449,59,16,806,1,2
small,iron,10.018258258459793,39,18,14287,3,1
big,gold,18.615100482663973,3,20,7498,5,3
big,gold,8.362111558622036,9,18,4221,1,5
big,iron,18.900523794213306,53,30,4145,0,1
small,iron,13.244875409299176,29,5,15567,8,1
big,gold,12.755544238783411,32,8,13428,0,5
big,gold,15.10671188095596,56,6,14381,5,1
big,iron,17.08515264580159,35,22,4,4,1
small,gold,19.36454084965675,25,18,17486,2,5
small,iron,5.040344266783427,50,15,12955,3,2
small,gold,10.971970671227083,20,28,2047,2,3
big,iron,7.685461146563906,56,16,10867,2,3
small,gold,7.2762502057443985,4,26,15494,9,3
small,gold,7.205383951139099,54,8,10466,4,2
big,gold,15.646652433675444,7,13,13473,2,5
small,gold,5.767113509012776,28,18,10154,1,5
small,gold,17.55087078938032,13,27,1179,3,2
big,gold,16.288506014813297,43,5,10845,3,4
small,gold,11.139055391333198,28,15,14894,4,4
small,gold,11.381895470772742,45,15,10132,3,2
small,gold,15.175436181846077,34,25,19702,5,3
small,iron,5.161568246162679,21,14,8927,1,4
big,iron,10.807008574188764,44,12,13563,2,3
big,iron,7.702041606637152,18,8,6796,7,2
big,gold,7.711674895110606,13,24,56,1,5
small,gold,13.258852261767746,50,30,7262,1,2
small,iron,8.688929535362838,60,24,14440,2,2
small,iron,10.627756711338128,32,23,1940,5,1
small,gold,15.759736561058228,58,19,3636,3,1
small,gold,14.310081532326143,13,29,7885,5,1
big,iron,9.95034150338451,0,10,17266,0,5
big,iron,5.744040369980363,53,24,9807,5,1
big,iron,5.399993994229229,50,11,1235,0,5
small,iron,12.313191564021277,30,17,15266,3,3
big,gold,11.322965628766404,52,7,11154,2,4
small,iron,16.94668952736869,53,20,8764,1,1
big,iron,6.230376330385892,22,15,5274,5,3
big,iron,17.74892701719972,10,8,15399,9,1
small,iron,8.187984814914321,37,25,18275,3,5
small,gold,10.260968315302634,54,8,15586,4,4
small,gold,17.898925616289983,35,23,1501,4,2
big,iron,17.56481885120251,24,17,6535,7,2
big,iron,12.723571176207418,14,30,16876,2,5
small,gold,6.22498159544296,17,9,9921,4,4
small,gold,13.857163682473344,46,18,12299,1,3
big,iron,16.42615673645208,22,24,6518,1,3
big,iron,8.934676904233017,30,15,9256,0,3
big,gold,7.745926585043911,36,12,1449,0,3
big,iron,12.455630586964075,18,12,7073,1,4
small,gold,16.239587379424528,18,6,17095,3,3
big,iron,12.5733346869199,43,27,17188,5,1
small,iron,8.59197955869489,39,19,16411,6,2
small,gold,18.033746149120756,47,16,14373,2,3
small,iron,18.08010182882901,30,18,1696,1,2
small,gold,14.874975432915898,0,4,4383,0,5
small,iron,6.114346658254414,39,11,13092,3,3
small,gold,8.481872764663493,0,6,3615,0,5
small,gold,14.27996288933048,20,7,16904,4,3
small,gold,16.7195490667275,45,28,12076,2,2
small,iron,12.113910064514277,15,20,799,2,3
small,iron,9.560661618503492,53,5,10857,0,3
small,iron,18.2678265379393,41,23,7812,1,1
big,gold,10.719979853480076,55,22,17865,0,4
small,gold,18.743604500294314,32,9,4882,4,2
big,iron,12.985114558314294,28,12,19844,2,5
small,gold,14.214184724584069,8,24,9502,8,2
small,iron,6.874356923048247,54,12,3750,3,2
big,iron,9.013771392428431,39,21,3078,5,3
small,gold,19.620275210501376,49,15,4403,4,1
small,iron,15.780013233909349,16,24,678,0,3
small,gold,12.156119111883998,12,18,1014,0,5
big,gold,12.821406705655198,22,5,419,5,4
big,iron,6.316928229485648,28,21,18808,1,5
big,iron,16.749950842132957,52,30,18975,4,1
small,iron,6.070490743215286,16,25,16460,3,5
small,gold,10.804885683961203,12,21,1341,7,1
big,gold,11.159784421465472,7,6,2074,1,5
small,iron,14.046275004340252,26,10,4362,1,2
big,iron,11.232993922583546,6,28,14262,3,2
small,gold,19.41069452472299,5,27,12521,0,4
small,gold,16.968542779348727,21,5,8720,1,4
big,gold,19.389884240908618,27,19,12771,3,5
small,iron,12.781021017535057,25,26,18697,1,3
small,gold,9.533523471680441,56,8,1917,3,2
small,iron,19.71965404799262,55,29,5291,5,1
small,gold,6.218357312233303,34,27,10910,1,3
small,iron,18.906194590382913,57,18,7473,9,1
big,gold,6.436728451832723,52,23,9172,5,2
small,gold,17.10359506058003,2,5,658,7,4
big,gold,16.698974445672874,33,11,4474,0,3
small,gold,14.895477472853052,21,7,3926,1,5
small,gold,16.738298246987235,3,18,16107,10,2
big,gold,6.32086144673638,39,25,14889,0,4
big,gold,10.602654560295104,30,14,19313,3,3
small,gold,10.047406784376976,37,14,18379,3,5
small,iron,19.722962086710755,14,4,5889,5,2
big,iron,12.088024059654288,51,8,12507,5,1
small,gold,5.7447525190464575,26,16,4119,3,4
big,iron,8.889700645393834,14,16,15074,3,4
small,gold,17.6612532880885,14,10,7282,3,3
big,iron,18.374695805765285,16,8,10389,5,1
big,gold,18.910360878880454,6,8,17660,3,5
small,gold,7.161776784651345,52,22,11633,0,3
small,gold,15.321304463374812,12,6,15318,10,3
small,iron,11.035014539285516,45,14,2855,3,1
big,gold,16.032116892519223,24,10,15025,1,5
small,iron,17.36572674855811,7,12,9016,2,2
big,gold,8.918823572893562,50,24,18058,1,5
big,iron,12.505071713162762,49,26,5898,4,1
big,gold,9.909293960016248,46,13,4647,10,1
small,iron,11.838778247950458,22,26,12591,2,3
small,gold,9.35923712919286,2,7,17272,0,5
big,gold,10.094537405591323,47,24,2269,5,3
small,iron,9.08412638885655,47,8,18347,3,2
small,gold,9.476635403066748,53,12,11469,3,3
big,iron,13.669473017737927,1,21,13926,0,5
small,gold,14.00425308975031,51,12,17053,5,1
small,gold,18.81105312726622,4,14,8136,0,5
big,iron,10.85870235689191,1,6,17680,3,5
big,iron,14.862041378042887,46,20,18158,3,3
big,iron,19.482030778268605,45,16,14690,3,3
small,gold,11.99542337346944,23,5,715,3,5
big,gold,16.687286460015688,44,10,11581,2,3
big,gold,19.546286931131526,19,23,5677,3,4
big,gold,16.84664332615271,7,13,1831,2,4
big,iron,6.20755086611963,22,29,1917,2,3
big,gold,7.89669006066353,54,28,17971,4,2
big,gold,9.423255470684106,31,25,7673,4,5
big,gold,15.293236633310135,44,28,2004,0,1
small,gold,15.071573860269451,36,23,14822,5,2
big,gold,7.05728021724368,40,16,12670,0,5
small,gold,11.740215969015209,40,9,8032,1,3
big,iron,11.32728574192047,6,20,10548,2,3
small,iron,15.348024801809013,5,14,11171,1,5
small,gold,8.914214318690252,7,30,18586,2,5
small,iron,8.566631867847153,10,8,8265,3,3
big,iron,13.950866293720232,42,17,644,2,2
big,gold,6.242443712441258,26,24,660,4,4
small,gold,15.032815989248448,22,18,13969,4,4
small,gold,11.591430193931046,52,24,1272,3,2
big,iron,13.045171941898783,29,4,18887,2,5
small,gold,17.029827439019353,46,7,898,4,2
small,iron,7.714574490128921,37,5,13006,0,5
small,gold,8.149194993490319,11,24,16194,2,5
big,iron,18.51620636464398,22,22,2836,2,3
small,iron,16.114671963009073,17,19,1666,3,2
small,iron,8.940448645636224,43,15,19879,0,4
big,iron,15.810931080661266,23,30,6645,4,1
small,iron,11.857830210926398,34,16,5095,1,3
big,gold,14.259262793449953,52,30,11129,3,1
big,iron,16.799686215735203,22,7,5068,3,4
small,iron,5.671330697691358,59,6,10709,2,3
small,iron,14.167719948686452,12,26,6223,4,2
small,gold,10.076973047047977,4,26,12306,1,5
small,iron,12.742227966251171,11,21,1786,4,1
big,gold,10.456316878253302,29,8,10514,3,5
big,gold,19.115743588960665,1,14,11259,2,5
big,gold,13.95735110319752,22,18,9865,1,4
small,iron,17.698986477113728,19,25,5493,2,4
big,gold,8.850878580760527,19,17,13404,5,4
big,iron,10.469157778119932,12,21,6771,5,1
big,iron,16.806007592382315,30,11,5838,4,1
small,gold,8.516616817413349,16,4,3735,4,5
big,iron,19.999905999410107,43,23,9125,0,2
small,iron,14.901192247946518,35,5,9356,3,2
big,gold,18.452285059028824,36,18,8638,2,4
big,iron,6.567721772822412,46,15,6501,4,3
big,gold,11.207443301264787,25,20,7093,3,4
small,iron,10.038818597317144,10,20,13303,1,2
big,gold,19.564455898386456,44,22,19937,5,2
big,gold,7.17123704511464,57,6,13572,4,3
big,iron,16.222448337196912,25,14,18060,1,4
big,gold,14.462699041968264,43,12,10540,0,5
big,gold,17.770365160842356,39,5,13505,2,3
small,gold,19.65930865466537,2,30,7257,2,3
small,iron,17.088361231889472,10,10,14794,4,1
big,iron,8.782290894187096,41,5,10833,4,5
small,iron,17.513682200754076,20,8,17451,5,3
small,iron,12.901386583571668,16,23,8391,4,2
big,gold,14.799644239716155,34,24,7174,5,3
small,gold,9.206631028122535,33,9,8577,1,4
big,iron,17.24023891906648,55,10,10595,0,1
small,gold,11.666933474685615,59,17,1860,5,1
small,iron,17.12550940525307,1,13,7076,3,2
small,gold,11.408812632149075,27,20,9988,1,5
small,iron,14.248128275924792,44,16,17840,8,1
small,gold,6.544917396800196,20,17,11834,1,5
small,gold,6.386989386152308,29,26,12155,4,3
big,gold,19.294537936860987,42,21,6532,9,1
small,iron,15.890981794620915,45,26,11226,2,2
big,iron,7.590429604252755,57,10,17912,3,2
big,iron,13.966030563970563,7,9,9029,4,4
big,gold,16.717933622722388,27,17,15168,5,4
big,iron,13.980641688056103,36,15,11450,3,3
small,gold,11.726707867912523,54,26,16197,1,1
small,gold,17.528684260560333,25,10,5800,1,2
big,iron,5.7616239490144485,3,15,8619,3,4
small,iron,14.500035367639747,19,30,10293,0,3
big,iron,12.095116611657053,56,12,4307,4,1
small,gold,14.722495794175265,1,18,4121,2,5
small,iron,9.356744382387804,57,16,11880,4,1
small,gold,7.437130860256244,32,4,4832,0,5
small,gold,19.61290577885971,12,9,4804,1,4
small,gold,17.963445194474307,20,6,3615,2,3
big,iron,18.634138090214712,21,29,14906,0,2
big,iron,16.531384965305737,56,27,3920,9,1
small,iron,5.97380118230795,49,10,10323,3,2
small,gold,14.418690154641848,45,14,9544,5,1
small,iron,10.721292788745316,0,27,2564,4,2
big,iron,10.014324451479354,5,28,1174,0,4
small,gold,8.738311272222557,53,19,14771,5,3
big,iron,7.709891819573148,18,21,6633,0,4
big,iron,7.0917404678656295,11,30,18024,5,3
small,gold,6.818137789333335,15,18,9583,4,5
big,iron,15.673456189807464,40,12,6915,4,2
small,iron,18.95623918552077,41,26,2990,2,1
big,iron,10.704756925291145,16,27,2477,0,2
small,iron,6.590273039356421,35,23,7109,0,4
big,iron,8.3173736726398,50,25,4602,0,3
small,iron,16.20488778364171,21,19,10915,4,2
small,gold,10.227917531732293,8,20,220,3,4
big,iron,14.94235312118493,13,6,18114,1,5
big,iron,8.084356604756247,59,7,9066,0,2
big,iron,16.35166259438116,26,25,6452,0,3
small,gold,14.827611176803481,43,29,815,1,2
big,iron,8.33355160182067,15,26,101,8,1
big,gold,18.97960168966903,52,23,3809,5,1
big,gold,12.83989742617423,11,28,13488,3,5
small,iron,8.29794730110832,6,18,797,5,4
big,iron,13.500184464696705,49,6,19179,4,4
small,gold,11.229873208157933,37,11,2033,1,3
big,iron,18.757151321988484,59,30,19770,4,1
small,gold,9.64784201512322,32,27,6793,0,2
small,gold,18.29465481909934,46,15,9259,10,1
small,gold,16.135771223123918,31,6,14662,4,4
small,gold,15.198381975431534,3,9,3520,0,5
big,iron,7.757489557451375,23,25,3059,1,5
small,gold,6.292031569415113,57,23,13476,6,2
small,iron,17.966556101337027,57,27,10144,4,1
small,iron,13.55812880389823,27,24,16148,1,3
big,iron,19.479379416159517,52,24,9357,4,1
big,iron,12.745904928475815,16,4,11127,2,4
big,iron,13.870755959475883,18,11,6483,4,2
small,iron,19.956631134550374,47,12,7030,2,3
big,iron,15.738375456992214,4,21,19631,4,5
big,gold,10.40045004346959,0,16,6676,2,5
big,gold,17.416929479035243,14,7,17766,0,5
small,gold,9.432404094569554,1,26,8830,1,5
big,iron,12.876135643989947,33,13,12409,1,3
big,iron,8.569217898443721,46,4,4080,4,4
small,gold,19.92024312458387,39,25,6564,4,2
small,iron,19.0178450129395,9,24,8498,2,5
big,iron,18.10794810004584,51,29,15170,5,1
small,iron,11.017130067712298,28,29,16466,5,1
big,iron,15.9279054622608,18,14,10971,2,3
big,iron,8.911742019469834,32,29,11105,2,3
big,gold,10.84999643254537,9,25,825,2,4
small,iron,17.067998918927266,60,10,5103,5,1
small,iron,5.8461204345361075,28,22,17786,4,3
big,gold,5.742504158561611,20,20,13998,5,4
big,gold,14.91616233556244,42,11,17046,1,4
big,iron,16.61897308979109,18,16,6993,2,3
big,iron,10.753140840438537,46,10,13422,0,3
small,iron,15.120145122594895,28,20,3743,4,1
small,gold,18.544696253143467,53,17,14348,5,1
small,gold,6.499778799880945,29,18,1000,4,5
small,iron,17.457742453105688,39,21,19846,1,2
small,iron,13.726103384439545,33,28,17335,2,5
big,iron,11.33533366651391,59,15,13075,10,1
small,gold,5.77567965838744,53,23,11243,4,2
small,iron,10.76112746707845,27,17,15772,5,1
big,iron,16.90834642278964,43,18,595,3,1
big,gold,13.12946478173105,13,9,3865,2,2
big,gold,7.644619437184986,52,30,9892,3,3
small,gold,8.483322479564745,37,18,2216,1,3
small,iron,17.714308590265148,23,29,5702,4,1
big,gold,11.49361391382026,54,21,11118,1,5
big,iron,6.432304012694371,47,8,5223,8,1
small,iron,19.599981363799166,10,21,7866,3,2
big,gold,8.801936151491448,58,21,18480,2,4
big,gold,16.947306369351683,17,25,14055,4,4
small,gold,5.192033684398954,4,29,19136,2,5
small,gold,8.847511718233076,21,4,4684,5,3
small,iron,10.056842918771405,26,26,14778,3,3
big,gold,17.891379001004356,4,20,18339,5,5
big,iron,16.2192223328226,36,28,4964,5,1
small,iron,9.620318503766429,26,14,2176,1,4
big,iron,16.812243682511046,35,20,1981,1,2
big,iron,17.150901733894123,30,8,19403,5,1
small,iron,12.680312432500896,31,6,1091,1,3
big,gold,12.618311715395278,9,5,8740,4,5
small,gold,12.642843979191953,50,4,966,1,4
small,gold,7.510953145626408,38,16,5748,5,2
small,gold,17.190973574433436,12,12,19454,4,4
big,iron,15.719085052420057,6,12,3250,3,2
big,gold,17.7407663868143,58,20,3489,4,1
small,iron,17.235114958360857,31,28,565,3,1
big,iron,16.78155759044138,49,28,14622,2,3
small,iron,16.705649911272022,29,19,4164,2,3
small,gold,19.166760161924174,17,14,6273,1,4
big,iron,14.081164815755017,17,15,15039,0,4
big,gold,17.41904701823085,1,20,15295,5,4
small,gold,17.020113130254167,33,28,9753,4,1
small,iron,9.053505576696818,43,18,16329,2,4
small,iron,13.485914812721758,6,14,11655,4,2
big,iron,15.945374921431089,1,10,5262,3,3
big,gold,6.552002343875341,10,6,4440,6,5
big,gold,12.958715682534327,29,12,6761,0,5
big,gold,5.042600145303814,31,25,337,3,5
small,gold,8.604530668428533,35,14,9904,0,4
big,iron,12.295563469166309,51,26,2310,4,1
small,iron,9.60395023761944,59,24,1036,0,2
big,iron,16.566348875915054,54,25,3817,3,1
small,gold,14.561061201221296,19,22,482,2,4
big,iron,9.013100052351236,27,4,2954,0,3
big,gold,5.25616774956309,43,16,16310,2,4
big,iron,8.820695116920623,16,23,18261,2,5
big,gold,12.786111982139806,58,30,9120,1,1
small,iron,16.433452151446588,7,24,10455,5,3
small,gold,14.050517139480913,28,12,9967,2,5
small,iron,5.837265835582326,45,19,12193,2,4
big,iron,11.997809053059946,7,23,12149,0,5
small,iron,19.392718307968106,60,26,6115,1,1
big,iron,18.560690257474416,7,6,6578,3,4
big,iron,16.13592709566625,15,29,13945,4,3
small,gold,9.257222978939401,23,16,15248,0,5
big,iron,5.332503566621133,39,28,4368,5,1
small,gold,11.845502716650055,19,25,454,0,2
small,gold,10.616581857784734,34,18,174,7,1
big,iron,15.137719262054267,19,16,2548,0,3
small,iron,6.058838865463704,21,11,7613,9,2
small,gold,18.850677971284195,29,19,18558,4,5
big,gold,16.037892651150152,18,11,11826,5,4
big,gold,19.564974750456763,32,16,17527,5,2
small,iron,17.979706263599613,25,10,17957,5,1
big,iron,11.453425914433113,16,10,1532,6,2
big,iron,14.937452847915809,24,28,2960,5,1
small,iron,17.684441375818135,26,27,11084,0,1
small,gold,8.058126128662842,29,19,18260,3,5
small,iron,5.144450506369823,39,21,14664,5,2
big,gold,9.613750572411629,17,4,8722,2,5
small,iron,11.561823116443218,33,24,5143,5,1
small,gold,14.368558249052127,26,29,5499,3,3
small,gold,8.951365180925102,46,29,319,2,2
big,iron,11.630895517734633,37,5,12405,1,5
small,iron,14.730190938020497,16,22,13194,0,2
big,iron,17.366355411594782,13,16,10288,5,2
big,gold,8.404029693912682,22,5,15495,4,5
big,gold,16.998554013178715,21,25,14550,2,5
big,iron,19.088004308310744,33,20,14645,5,2
small,iron,11.143433719279784,15,11,1157,1,2
big,gold,13.279817726304731,55,17,3390,4,2
small,gold,5.149758719914547,50,13,17472,2,5
small,iron,15.653143560752083,37,9,11336,3,2
big,gold,18.080200110679094,40,15,2657,0,3
small,gold,5.299808045439313,17,20,4553,3,5
small,iron,17.655013723018268,34,5,18828,4,5
big,iron,7.235334915897397,2,22,12290,5,4
big,iron,17.631481812766324,8,17,9079,2,4
small,gold,13.128571673370402,31,19,9643,0,4
big,gold,10.55239058172712,6,7,11768,0,5
small,iron,19.118943600865876,57,8,11401,0,2
big,iron,14.185369985731066,45,18,11672,1,4
big,gold,5.5798359660724355,40,21,6293,9,1
small,iron,16.490005846700946,54,21,1296,1,1
big,iron,7.735981927927934,25,4,10540,0,5
big,iron,18.84912316768959,52,16,11501,0,1
big,iron,7.496839726430016,4,8,10308,2,5
small,gold,12.314869734465136,48,18,19505,3,4
small,gold,12.83866808641425,7,25,3433,1,5
small,iron,13.456696676691562,7,29,14912,2,4
big,iron,12.999418217287023,45,17,381,1,3
big,iron,11.585688388963653,42,17,6492,4,2
small,gold,15.692479154826225,19,19,13184,0,4
small,gold,7.333396298980648,9,5,9869,1,5
small,gold,16.809059047088585,17,13,4876,6,1
big,iron,5.561761958505289,28,12,9595,5,2
small,iron,17.631431233345246,14,19,10618,2,3
big,gold,16.2474333554585,57,8,2160,0,1
big,gold,16.930995756878104,54,5,358,3,1
small,gold,9.453939759385284,24,13,4593,1,4
small,iron,17.745617060478157,18,4,5346,1,2
small,iron,15.3673661822251,12,23,10590,5,1
big,gold,19.52811850012098,10,28,809,5,1
small,gold,5.300166971529166,5,22,7700,2,5
big,iron,16.857835729895882,22,11,5889,3,2
big,iron,14.349538345850934,54,23,12258,5,1
big,gold,19.83556470136918,43,25,14600,5,1
small,gold,11.645620136310443,3,28,14713,5,3
small,gold,9.194831484997785,25,17,12543,2,5
small,gold,18.196181573501402,20,14,10042,0,3
big,iron,9.885410157070373,46,6,3289,0,4
small,gold,15.541822347718687,32,16,12265,0,3
small,gold,9.97771989662084,41,5,2425,4,4
small,gold,19.18583505420596,4,14,8475,4,3
small,iron,12.891505384091719,21,5,2360,4,2
small,gold,9.796865815179773,21,14,5433,1,4
small,gold,17.336286070265103,53,17,16991,0,2
small,gold,5.937110785990852,46,13,189,1,3
big,iron,6.406369499320517,4,13,5694,3,4
big,gold,17.550742947145938,10,23,1743,0,4
big,iron,9.851209091074963,44,30,19906,7,2
small,iron,7.6483243740443845,22,11,17458,5,1
big,iron,13.807317538236608,30,6,11096,0,5
small,iron,8.818658142003994,23,4,3424,8,2
small,gold,19.807748870697647,19,14,19977,3,5
big,gold,17.309013618244187,7,17,1621,5,3
small,gold,18.337628315266777,24,4,4815,1,5
big,iron,17.503796645911372,48,17,11153,2,3
small,gold,18.287909569301874,35,20,18978,0,4
small,iron,10.069686959866264,10,16,2987,7,1
big,gold,15.101182504419072,16,6,18455,5,4
small,iron,18.604739964091088,43,16,4342,0,2
big,gold,15.289258595047967,37,22,3415,2,4
small,iron,19.95732376725003,60,17,19391,7,1
big,gold,17.983004165471094,32,23,19723,4,3
small,gold,6.064070095320909,58,29,2608,10,1
small,gold,12.524979785349478,46,30,7001,4,1
small,iron,9.13310597739032,53,10,7894,5,1
small,iron,18.125831378883962,10,9,2950,5,1
big,gold,19.058712495879345,23,8,18509,5,4
big,gold,13.499259960016193,21,21,7294,2,5
big,iron,5.872107787388089,6,20,16118,2,5
small,iron,10.200195030508743,31,12,1632,4,1
big,iron,7.828637058685991,3,8,7764,5,3
small,gold,12.939104603751888,44,12,11948,1,4
small,iron,19.772592832488407,16,8,3802,4,3
small,iron,10.148915370882666,20,27,11994,3,2
big,gold,16.00960811495524,14,17,8585,0,5
small,iron,17.46581468147287,18,28,6641,2,2
big,iron,17.452606963448606,27,28,7928,1,2
small,gold,7.242901270607336,54,11,6282,4,1
small,gold,8.561672101294713,7,7,5592,2,5
big,iron,8.349157431956376,6,20,718,2,4
big,iron,9.459188113005785,19,7,10925,0,5
big,gold,5.702089988335129,44,23,13317,0,5
big,gold,13.090702709720553,46,22,18688,4,5
big,gold,16.113950562792002,49,13,5011,5,2
small,iron,8.912271595542178,41,17,8730,1,2
small,gold,14.597448721307405,15,8,9466,4,5
big,iron,13.183796234796507,40,10,12927,3,2
big,gold,6.487546936016701,26,26,10125,2,5
big,gold,8.596677905657549,41,13,9123,2,5
small,iron,8.62226616892692,31,18,15753,4,2
big,gold,12.330186950059856,56,25,2785,5,1
small,iron,14.417770155298308,47,11,12664,2,4
big,gold,9.520612964155463,59,17,3823,2,4
small,gold,6.906870468050278,53,4,19414,4,5
small,iron,9.03828088254551,30,7,13656,5,2
small,iron,5.602801146888805,23,27,12641,2,3
big,iron,16.22998024578483,17,25,17433,2,3
big,iron,15.489659118575878,21,16,7144,5,3
big,iron,15.059914777651581,11,15,1978,0,2
big,iron,14.266703273154649,21,18,17396,0,3
big,gold,9.465416881639648,53,17,18536,3,5
small,gold,6.73224911024238,11,7,10318,1,5
small,iron,13.985230167558584,53,8,8935,3,1
big,gold,15.988631007521784,3,6,3753,4,5
big,iron,17.162655526477455,9,20,4758,2,5
small,iron,15.897966767775426,54,13,11302,2,1
big,gold,14.879962574484573,32,20,3347,5,3
small,iron,17.365919351617336,19,10,2455,0,1
small,iron,16.426635256158104,11,13,5504,4,2
big,gold,19.17352403326314,0,4,6906,1,5
small,iron,5.090713020328737,12,14,4852,9,1
big,iron,7.2000389690158535,8,8,610,2,4
small,gold,13.696271482852984,41,29,6504,0,2
big,iron,11.015887911758993,57,21,1565,4,1
small,gold,10.107581123298258,15,18,15015,0,4
small,iron,16.188621736077593,3,10,4370,2,4
big,iron,13.034550677260013,60,12,522,5,1
big,gold,12.897309491225998,42,30,12440,4,3
big,gold,5.747526546148719,24,9,7685,2,5
small,iron,11.919447012917704,47,28,9865,5,1
small,gold,14.12031894662752,42,27,12406,2,2
small,iron,9.201263334541155,45,13,8660,2,4
big,gold,8.584735172844006,10,8,2027,2,4
small,gold,13.259189419278671,20,25,11425,4,3
big,gold,18.679380627439258,31,28,11217,7,1
small,iron,6.745592070133959,39,8,3909,0,4
big,iron,9.636693381206248,33,28,14959,4,1
small,gold,5.872079435242459,17,16,13646,2,5
small,iron,9.880749188549593,22,24,13512,2,5
small,gold,15.42261478709849,25,15,10884,0,4
small,iron,9.780083215331791,4,22,12711,5,2
big,gold,10.977531286151487,50,27,2789,0,4
big,iron,19.03244145225259,39,9,2377,5,1
small,iron,10.206219141346178,37,14,11082,0,3
small,gold,13.093283249776356,46,18,15136,5,2
small,iron,19.004393280340405,28,8,2255,0,3
small,iron,12.62768873062803,35,7,12390,2,4
big,gold,7.552311545682961,41,22,13486,5,4
big,iron,7.146244681001547,39,26,19981,6,1
big,iron,18.483428667261073,45,21,4518,5,2
big,iron,18.28452965237539,4,19,15702,0,5
